,idVotant,Contre,Pour
0,PA1008,31.16279069767442,68.83720930232559
1,PA1012,34.13173652694611,65.86826347305389
2,PA1029,51.81818181818182,48.18181818181818
3,PA1198,33.23442136498516,66.76557863501483
4,PA1206,45.45454545454545,54.54545454545454
5,PA1276,26.451612903225808,73.54838709677419
6,PA1327,44.03973509933775,55.960264900662246
7,PA1592,20.884955752212388,79.11504424778761
8,PA1630,43.30708661417323,56.69291338582677
9,PA1695,43.236074270557026,56.76392572944297
10,PA1809,35.981308411214954,64.01869158878505
11,PA1838,41.7624521072797,58.23754789272031
12,PA1874,19.096045197740114,80.90395480225989
13,PA2150,34.55882352941176,65.44117647058823
14,PA2155,41.25874125874126,58.74125874125874
15,PA223837,45.85987261146497,54.14012738853503
16,PA2377,34.90566037735849,65.09433962264151
17,PA2449,62.94117647058823,37.05882352941177
18,PA2492,49.62406015037594,50.37593984962406
19,PA2529,44.339622641509436,55.660377358490564
20,PA266776,32.87250384024578,67.12749615975423
21,PA266788,21.32701421800948,78.67298578199052
22,PA266793,36.116152450090745,63.883847549909255
23,PA266797,38.23529411764706,61.76470588235294
24,PA266808,28.52941176470588,71.47058823529412
25,PA267042,29.829545454545453,70.17045454545455
26,PA267200,44.9685534591195,55.0314465408805
27,PA267204,39.23076923076923,60.76923076923077
28,PA267260,34.82142857142857,65.17857142857143
29,PA267289,42.61363636363637,57.38636363636363
30,PA267306,30.08849557522124,69.91150442477876
31,PA267318,41.132075471698116,58.867924528301884
32,PA267324,40.825688073394495,59.174311926605505
33,PA267330,34.42622950819672,65.57377049180327
34,PA267337,71.42857142857143,28.57142857142857
35,PA267355,44.224422442244226,55.775577557755774
36,PA267378,43.23144104803494,56.76855895196506
37,PA267429,37.62135922330097,62.37864077669902
38,PA267440,37.98701298701299,62.01298701298701
39,PA267450,34.44444444444444,65.55555555555556
40,PA267527,30.0,70.0
41,PA267735,35.25179856115108,64.74820143884892
42,PA267766,27.376425855513308,72.6235741444867
43,PA267780,52.879581151832454,47.12041884816754
44,PA267785,41.935483870967744,58.06451612903226
45,PA267794,60.71428571428571,39.285714285714285
46,PA267901,44.34389140271493,55.65610859728507
47,PA268019,33.72549019607843,66.27450980392156
48,PA2796,46.72131147540984,53.278688524590166
49,PA2828,51.83673469387755,48.16326530612245
50,PA2952,18.75,81.25
51,PA2960,53.45454545454545,46.54545454545455
52,PA330008,37.142857142857146,62.857142857142854
