;idVotant;Genre;Nom;Prénom;date_naissance;wikilink;age;Identité;CSP
49;PA340357;Mme;Victory;Michèle;;Michèle_Victory;62;Victory Michèle;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
50;PA642868;M.;Christophe;Paul;;Paul_Christophe;50;Christophe Paul;Cadres de la fonction publique, professions intellectuelles et artistiques
51;PA267780;Mme;Firmin Le Bodo;Agnès;;Agnès_Firmin-Le_Bodo;52;Firmin Le Bodo Agnès;Professions libérales et assimilés
52;PA1838;M.;Lassalle;Jean;1955-05-03;Jean_Lassalle;65;Lassalle Jean;Ouvriers agricoles
53;PA721194;Mme;Dumas;Frédérique;;Frédérique_Dumas;57;Dumas Frédérique;Commerçants et assimilés
54;PA722268;Mme;Wonner;Martine;;Martine_Wonner;56;Wonner Martine;Cadres d'entreprise
55;PA719608;Mme;Ménard;Emmanuelle;;Emmanuelle_Ménard;52;Ménard Emmanuelle;Cadres d'entreprise
56;PA721852;Mme;Lebec;Marie;;Marie_Lebec;30;Lebec Marie;Cadres d'entreprise
57;PA719024;M.;Blanchet;Christophe;;Christophe_Blanchet;47;Blanchet Christophe;Commerçants et assimilés
58;PA719080;Mme;Marsaud;Sandra;;Sandra_Marsaud;47;Marsaud Sandra;Cadres d'entreprise
59;PA719170;Mme;Charvier;Fannette;;Fannette_Charvier;36;Charvier Fannette;Employés administratifs d'entreprise
60;PA719372;M.;Kasbarian;Guillaume;;Guillaume_Kasbarian;34;Kasbarian Guillaume;Cadres d'entreprise
61;PA719420;M.;Sommer;Denis;;Denis_Sommer;63;Sommer Denis;Cadres de la fonction publique, professions intellectuelles et artistiques
62;PA719684;Mme;Dubost;Coralie;;Coralie_Dubost;37;Dubost Coralie;Cadres d'entreprise
63;PA719850;Mme;Motin;Cendra;;Cendra_Motin;46;Motin Cendra;Professions libérales et assimilés
64;PA720298;Mme;Cariou;Émilie;;Émilie_Cariou;49;Cariou Émilie;Cadres de la fonction publique, professions intellectuelles et artistiques
65;PA720830;Mme;Thomas;Valérie;;Valérie_Thomas;53;Thomas Valérie;Professions libérales et assimilés
66;PA721134;M.;Lescure;Roland;;Roland_Lescure;54;Lescure Roland;Cadres d'entreprise
67;PA721344;M.;Bonnell;Bruno;;Bruno_Bonnell;62;Bonnell Bruno;Chefs d'entreprise de 10 salariés ou plus
68;PA721542;Mme;Verdier-Jouclas;Marie-Christine;;Marie-Christine_Verdier-Jouclas;55;Verdier-Jouclas Marie-Christine;Cadres d'entreprise
69;PA722382;M.;Dirx;Benjamin;;Benjamin_Dirx;42;Dirx Benjamin;Commerçants et assimilés
70;PA1327;M.;Forissier;Nicolas;;Nicolas_Forissier;60;Forissier Nicolas;Chefs d'entreprise de 10 salariés ou plus
71;PA608016;Mme;Louwagie;Véronique;1961-03-20;Véronique_Louwagie;59;Louwagie Véronique;Professions libérales et assimilés
72;PA718978;M.;Laqhila;Mohamed;;Mohamed_Laqhila;61;Laqhila Mohamed;Professions libérales et assimilés
73;PA720652;M.;Duvergé;Bruno;;Bruno_Duvergé;63;Duvergé Bruno;Cadres d'entreprise
74;PA607553;M.;Potier;Dominique;1964-03-17;Dominique_Potier;56;Potier Dominique;Agriculteurs exploitants
75;PA719930;M.;Vallaud;Boris;;Boris_Vallaud;45;Vallaud Boris;Cadres de la fonction publique, professions intellectuelles et artistiques
76;PA720422;M.;Quatennens;Adrien;;Adrien_Quatennens;30;Quatennens Adrien;Professions intermédiaires administratives et commerciales des entreprises
77;PA720846;M.;Lachaud;Bastien;;Bastien_Lachaud;40;Lachaud Bastien;Cadres de la fonction publique, professions intellectuelles et artistiques
78;PA720892;Mme;Panot;Mathilde;;Mathilde_Panot;32;Panot Mathilde;Cadres d'entreprise
79;PA721202;M.;Coquerel;Éric;;Éric_Coquerel;62;Coquerel Éric;Professions libérales et assimilés
80;PA721210;M.;Corbière;Alexis;;Alexis_Corbière;52;Corbière Alexis;Cadres de la fonction publique, professions intellectuelles et artistiques
81;PA718926;M.;Dharréville;Pierre;;Pierre_Dharréville;45;Dharréville Pierre;Professions intermédiaires administratives et commerciales des entreprises
82;PA721270;M.;Peu;Stéphane;;Stéphane_Peu;58;Peu Stéphane;Employés administratifs d'entreprise
83;PA331582;M.;Vigier;Philippe;1958-02-03;Philippe_Vigier;63;Vigier Philippe;Professions libérales et assimilés
84;PA643127;M.;Questel;Bruno;;Bruno_Questel;54;Questel Bruno;Professions libérales et assimilés
85;PA720790;M.;Grau;Romain;;Romain_Grau;46;Grau Romain;Professions libérales et assimilés
86;PA607595;M.;Pellois;Hervé;1951-04-17;Hervé_Pellois;69;Pellois Hervé;Cadres d'entreprise
87;PA720492;Mme;Osson;Catherine;;Catherine_Osson;47;Osson Catherine;Cadres de la fonction publique, professions intellectuelles et artistiques
88;PA718954;M.;Ahamada;Saïd;;Saïd_Ahamada;48;Ahamada Saïd;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
89;PA719186;Mme;Khattabi;Fadila;;Fadila_Khattabi;59;Khattabi Fadila;Cadres de la fonction publique, professions intellectuelles et artistiques
90;PA719242;M.;Moreau;Jean-Baptiste;;Jean-Baptiste_Moreau;;Moreau Jean-Baptiste;Agriculteurs exploitants
91;PA719472;M.;Cazeneuve;Jean-René;;Jean-René_Cazeneuve;62;Cazeneuve Jean-René;Cadres d'entreprise
92;PA719540;Mme;Toutut-Picard;Élisabeth;;Élisabeth_Toutut-Picard;66;Toutut-Picard Élisabeth;Cadres de la fonction publique, professions intellectuelles et artistiques
93;PA719616;M.;Euzet;Christophe;;Christophe_Euzet;53;Euzet Christophe;Cadres de la fonction publique, professions intellectuelles et artistiques
94;PA719710;Mme;David;Dominique;;Dominique_David;;David Dominique;Cadres d'entreprise
95;PA719740;M.;Colas-Roy;Jean-Charles;;Jean-Charles_Colas-Roy;42;Colas-Roy Jean-Charles;Cadres d'entreprise
96;PA719756;Mme;Cloarec-Le Nabour;Christine;;Christine_Cloarec-Le Nabour;56;Cloarec-Le Nabour Christine;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
97;PA719798;M.;Labaronne;Daniel;;Daniel_Labaronne;65;Labaronne Daniel;Cadres de la fonction publique, professions intellectuelles et artistiques
98;PA719890;Mme;Brulebois;Danielle;;Danielle_Brulebois;73;Brulebois Danielle;Anciens cadres et professions intermédiaires
99;PA719922;M.;Causse;Lionel;;Lionel_Causse;49;Causse Lionel;Cadres d'entreprise
100;PA719994;Mme;Kamowski;Catherine;;Catherine_Kamowski;62;Kamowski Catherine;Cadres de la fonction publique, professions intellectuelles et artistiques
101;PA643175;Mme;Dupont;Stella;;Stella_Dupont;47;Dupont Stella;Cadres d'entreprise
102;PA720222;M.;Girardin;Éric;;Éric_Girardin;59;Girardin Éric;Professions libérales et assimilés
103;PA720362;M.;Belhaddad;Belkhir;;Belkhir_Belhaddad;51;Belhaddad Belkhir;Chefs d'entreprise de 10 salariés ou plus
104;PA720446;Mme;Liso;Brigitte;;Brigitte_Liso;61;Liso Brigitte;Commerçants et assimilés
105;PA720500;Mme;Petit;Valérie;;Valérie_Petit;44;Petit Valérie;Cadres de la fonction publique, professions intellectuelles et artistiques
106;PA720520;Mme;Cattelot;Anne-Laure;;Anne-Laure_Cattelot;32;Cattelot Anne-Laure;Cadres de la fonction publique, professions intellectuelles et artistiques
107;PA720622;Mme;Bureau-Bonnard;Carole;;Carole_Bureau-Bonnard;55;Bureau-Bonnard Carole;Professions libérales et assimilés
108;PA720738;M.;Michels;Thierry;;Thierry_Michels;;Michels Thierry;Cadres d'entreprise
109;PA720862;M.;Descrozaille;Frédéric;;Frédéric_Descrozaille;53;Descrozaille Frédéric;Cadres d'entreprise
110;PA720878;M.;Saint-Martin;Laurent;;Laurent_Saint-Martin;35;Saint-Martin Laurent;Cadres d'entreprise
111;PA720900;Mme;Rilhac;Cécile;;Cécile_Rilhac;46;Rilhac Cécile;Cadres de la fonction publique, professions intellectuelles et artistiques
112;PA720908;Mme;Moutchou;Naïma;;Naïma_Moutchou;40;Moutchou Naïma;Professions libérales et assimilés
113;PA721150;M.;Holroyd;Alexandre;;Alexandre_Holroyd;33;Holroyd Alexandre;Anciens cadres et professions intermédiaires
114;PA721246;Mme;Gaillot;Albane;;Albane_Gaillot;49;Gaillot Albane;Cadres d'entreprise
115;PA721584;M.;Terlier;Jean;;Jean_Terlier;43;Terlier Jean;Professions libérales et assimilés
116;PA721656;Mme;Muschotti;Cécile;;Cécile_Muschotti;33;Muschotti Cécile;Cadres de la fonction publique, professions intellectuelles et artistiques
117;PA721916;Mme;Pouzyreff;Natalia;;Natalia_Pouzyreff;60;Pouzyreff Natalia;Cadres de la fonction publique, professions intellectuelles et artistiques
118;PA722150;M.;Houlié;Sacha;;Sacha_Houlié;32;Houlié Sacha;Professions libérales et assimilés
119;PA722366;M.;Fugit;Jean-Luc;;Jean-Luc_Fugit;51;Fugit Jean-Luc;Cadres de la fonction publique, professions intellectuelles et artistiques
120;PA642695;M.;Bothorel;Éric;1966-10-20;Éric_Bothorel;54;Bothorel Éric;Cadres d'entreprise
121;PA1874;M.;Le Fur;Marc;1956-11-28;Marc_Le Fur;64;Le Fur Marc;Cadres de la fonction publique, professions intellectuelles et artistiques
122;PA746;M.;Carrez;Gilles;1948-08-29;Gilles_Carrez;72;Carrez Gilles;Cadres de la fonction publique, professions intellectuelles et artistiques
123;PA266808;M.;Rolland;Vincent;;Vincent_Rolland;51;Rolland Vincent;Cadres de la fonction publique, professions intellectuelles et artistiques
124;PA2960;M.;Woerth;Éric;1956-01-29;Éric_Woerth;65;Woerth Éric;Cadres d'entreprise
125;PA718850;M.;Cordier;Pierre;;Pierre_Cordier_(homme_politique);48;Cordier Pierre;Cadres de la fonction publique, professions intellectuelles et artistiques
126;PA266776;M.;Reiss;Frédéric;1949-11-12;Frédéric_Reiss;71;Reiss Frédéric;Cadres de la fonction publique, professions intellectuelles et artistiques
127;PA605036;M.;Abad;Damien;1980-04-05;Damien_Abad;40;Abad Damien;Sans profession déclarée
128;PA330008;M.;Breton;Xavier;1962-11-25;Xavier_Breton;58;Breton Xavier;Cadres d'entreprise
129;PA267450;M.;Delatte;Rémi;1956-06-09;Rémi_Delatte;64;Delatte Rémi;Agriculteurs exploitants
130;PA605991;Mme;Genevard;Annie;1956-09-07;Annie_Genevard;64;Genevard Annie;Cadres de la fonction publique, professions intellectuelles et artistiques
131;PA719272;Mme;Meunier;Frédérique;;Frédérique_Meunier;60;Meunier Frédérique;Professions libérales et assimilés
132;PA720386;M.;Di Filippo;Fabien;;Fabien_Di Filippo;34;Di Filippo Fabien;
133;PA642847;M.;Bazin;Thibault;;Thibault_Bazin;36;Bazin Thibault;Cadres d'entreprise
134;PA721678;M.;Reda;Robin;;Robin_Reda;29;Reda Robin;Sans profession déclarée
135;PA720746;M.;Waserman;Sylvain;;Sylvain_Waserman;53;Waserman Sylvain;Chefs d'entreprise de 10 salariés ou plus
136;PA720334;M.;Pahun;Jimmy;;Jimmy_Pahun;58;Pahun Jimmy;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
137;PA720728;M.;Mattei;Jean-Paul;;Jean-Paul_Mattei;66;Mattei Jean-Paul;Professions libérales et assimilés
138;PA721924;Mme;de Vaucouleurs;Michèle;;Michèle_de Vaucouleurs;57;de Vaucouleurs Michèle;Cadres d'entreprise
139;PA719918;M.;Lainé;Fabien;;Fabien_Lainé;44;Lainé Fabien;Professions intermédiaires administratives et commerciales des entreprises
140;PA340343;M.;Saulignac;Hervé;;Hervé_Saulignac;50;Saulignac Hervé;Cadres de la fonction publique, professions intellectuelles et artistiques
141;PA605069;M.;Bricout;Jean-Louis;1957-12-27;Jean-Louis_Bricout;63;Bricout Jean-Louis;Cadres d'entreprise
142;PA332614;M.;Juanico;Régis;1972-02-05;Régis_Juanico;49;Juanico Régis;Cadres de la fonction publique, professions intellectuelles et artistiques
143;PA608172;Mme;Pires Beaune;Christine;1964-10-06;Christine_Pires Beaune;56;Pires Beaune Christine;Cadres de la fonction publique, professions intellectuelles et artistiques
144;PA609590;Mme;Rabault;Valérie;1973-04-25;Valérie_Rabault;47;Rabault Valérie;Cadres d'entreprise
145;PA2952;M.;Warsmann;Jean-Luc;1965-10-22;Jean-Luc_Warsmann;55;Warsmann Jean-Luc;Inactifs divers (autres que retraités)
146;PA720230;Mme;Magnier;Lise;;Lise_Magnier;36;Magnier Lise;Cadres de la fonction publique, professions intellectuelles et artistiques
147;PA721632;Mme;Lemoine;Patricia;;Patricia_Lemoine;59;Lemoine Patricia;Cadres d'entreprise
148;PA942;M.;de Courson;Charles;1952-04-02;Charles_de Courson;68;de Courson Charles;Cadres de la fonction publique, professions intellectuelles et artistiques
149;PA405480;M.;Pupponi;François;1962-07-31;François_Pupponi;58;Pupponi François;Cadres de la fonction publique, professions intellectuelles et artistiques
150;PA607619;M.;Molac;Paul;1962-05-21;Paul_Molac;58;Molac Paul;Cadres de la fonction publique, professions intellectuelles et artistiques
151;PA719138;M.;Castellani;Michel;;Michel_Castellani_(homme_politique);75;Castellani Michel;Cadres de la fonction publique, professions intellectuelles et artistiques
152;PA718720;M.;Dufrègne;Jean-Paul;;Jean-Paul_Dufrègne;62;Dufrègne Jean-Paul;Cadres d'entreprise
153;PA332747;M.;de Rugy;François;1973-12-06;François_de Rugy;47;de Rugy François;Cadres de la fonction publique, professions intellectuelles et artistiques
154;PA722398;M.;Rebeyrotte;Rémy;;Rémy_Rebeyrotte;54;Rebeyrotte Rémy;Cadres de la fonction publique, professions intellectuelles et artistiques
155;PA719118;M.;Cormier-Bouligeon;François;;François_Cormier-Bouligeon;48;Cormier-Bouligeon François;Cadres de la fonction publique, professions intellectuelles et artistiques
156;PA719668;Mme;Mirallès;Patricia;;Patricia_Mirallès;53;Mirallès Patricia;Employés de la fonction publique
157;PA605963;M.;Alauzet;Éric;1958-06-07;Éric_Alauzet;62;Alauzet Éric;Professions libérales et assimilés
158;PA718674;Mme;Givernet;Olga;;Olga_Givernet;39;Givernet Olga;Cadres d'entreprise
159;PA718694;M.;Delatte;Marc;;Marc_Delatte;59;Delatte Marc;Professions libérales et assimilés
160;PA718736;Mme;Peyrol;Bénédicte;;Bénédicte_Peyrol;29;Peyrol Bénédicte;Cadres d'entreprise
161;PA718930;Mme;Petel;Anne-Laurence;;Anne-Laurence_Petel;51;Petel Anne-Laurence;Cadres d'entreprise
162;PA718962;M.;Zulesi;Jean-Marc;;Jean-Marc_Zulesi;32;Zulesi Jean-Marc;Cadres d'entreprise
163;PA719006;M.;Le Vigoureux;Fabrice;;Fabrice_Le Vigoureux;51;Le Vigoureux Fabrice;Cadres de la fonction publique, professions intellectuelles et artistiques
164;PA719060;M.;Jerretie;Christophe;;Christophe_Jerretie;41;Jerretie Christophe;Professions libérales et assimilés
165;PA719092;Mme;Tuffnell;Frédérique;;Frédérique_Tuffnell;64;Tuffnell Frédérique;Cadres d'entreprise
166;PA719162;Mme;Dubois;Jacqueline;;Jacqueline_Dubois;63;Dubois Jacqueline;Anciens cadres et professions intermédiaires
167;PA719250;M.;Chassaing;Philippe;;Philippe_Chassaing;48;Chassaing Philippe;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
168;PA719338;Mme;Melchior;Graziella;;Graziella_Melchior;;Melchior Graziella;Cadres de la fonction publique, professions intellectuelles et artistiques
169;PA719412;Mme;Le Feur;Sandrine;;Sandrine_Le Feur;29;Le Feur Sandrine;Agriculteurs exploitants
170;PA719980;M.;Borowczyk;Julien;;Julien_Borowczyk;41;Borowczyk Julien;Professions libérales et assimilés
171;PA720054;M.;Haury;Yannick;;Yannick_Haury;66;Haury Yannick;Professions libérales et assimilés
172;PA720214;Mme;Kuric;Aina;;Aina_Kuric;33;Kuric Aina;Commerçants et assimilés
173;PA720318;Mme;Zannier;Hélène;;Hélène_Zannier;48;Zannier Hélène;Cadres de la fonction publique, professions intellectuelles et artistiques
174;PA720378;M.;Lioger;Richard;;Richard_Lioger;;Lioger Richard;Cadres de la fonction publique, professions intellectuelles et artistiques
175;PA720394;Mme;Trisse;Nicole;;Nicole_Gries-Trisse;57;Trisse Nicole;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
176;PA720560;Mme;Goulet;Perrine;;Perrine_Goulet;42;Goulet Perrine;Cadres d'entreprise
177;PA720576;M.;Bois;Pascal;;Pascal_Bois;61;Bois Pascal;Cadres d'entreprise
178;PA720590;M.;Potterie;Benoit;;Benoît_Potterie;53;Potterie Benoit;Chefs d'entreprise de 10 salariés ou plus
179;PA720780;M.;Sempastous;Jean-Bernard;;Jean-Bernard_Sempastous;56;Sempastous Jean-Bernard;Cadres de la fonction publique, professions intellectuelles et artistiques
180;PA720870;M.;Mbaye;Jean François;;Jean François_Mbaye;42;Mbaye Jean François;
181;PA721218;Mme;Charrière;Sylvie;;Sylvie_Charrière;59;Charrière Sylvie;Cadres de la fonction publique, professions intellectuelles et artistiques
182;PA721466;M.;Le Gendre;Gilles;;Gilles_Le Gendre;62;Le Gendre Gilles;Cadres d'entreprise
183;PA721498;M.;Guerini;Stanislas;;Stanislas_Guerini;38;Guerini Stanislas;Cadres d'entreprise
184;PA721514;Mme;Kerbarh;Stéphanie;;Stéphanie_Kerbarh;45;Kerbarh Stéphanie;Professions libérales et assimilés
185;PA721568;M.;Person;Pierre;;Pierre_Person;32;Person Pierre;Cadres d'entreprise
186;PA721616;M.;Rupin;Pacôme;;Pacôme_Rupin;36;Rupin Pacôme;Professions libérales et assimilés
187;PA721644;M.;Kokouendo;Rodrigue;;Rodrigue_Kokouendo;46;Kokouendo Rodrigue;Cadres d'entreprise
