,idVotant,Contre,Pour,indice_accord,taux_abstention,Région_x,age,Genre,CSP,Groupe politique (complet)
118382,PA721364,62.3,37.7,745.9,84.863523573201,Bourgogne-Franche-Comté,47,M.,Professions libÃ©rales et assimilÃ©s,La République en Marche
118626,PA721372,61.5,38.5,756.64,85.98014888337468,Pays de la Loire,33,M.,EmployÃ©s de commerce,La République en Marche
118852,PA721384,60.44,39.56,725.27,88.70967741935483,Pays de la Loire,58,Mme,CommerÃ§ants et assimilÃ©s,Mouvement Démocrate (MoDem) et Démocrates apparentés
119034,PA721398,61.37,38.63,725.32,85.54590570719603,Auvergne-Rhône-Alpes,28,Mme,Professions intermÃ©diaires administratives et commerciales des entreprises,La République en Marche
119267,PA721410,31.17,68.83,370.37,79.90074441687345,Auvergne-Rhône-Alpes,40,Mme,Cadres d'entreprise,Les Républicains
119591,PA721418,62.63,37.37,688.58,82.07196029776675,Auvergne-Rhône-Alpes,49,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,Mouvement Démocrate (MoDem) et Démocrates apparentés
119880,PA721426,67.9,32.1,745.36,76.61290322580645,Auvergne-Rhône-Alpes,51,Mme,Cadres d'entreprise,La République en Marche
120257,PA721434,66.67,33.33,769.01,78.78411910669976,Auvergne-Rhône-Alpes,54,Mme,Cadres d'entreprise,La République en Marche
120599,PA721450,66.56,33.44,743.76,62.71712158808933,Auvergne-Rhône-Alpes,46,Mme,Cadres d'entreprise,La République en Marche
121200,PA721458,69.6,30.4,792.0,76.73697270471465,Auvergne-Rhône-Alpes,51,M.,CommerÃ§ants et assimilÃ©s,La République en Marche
121575,PA721466,72.16,27.84,754.9,68.3622828784119,Ile-de-France,62,M.,Cadres d'entreprise,La République en Marche
122085,PA721474,37.55,62.45,404.08,84.8014888337469,Grand Est,51,M.,Professions libÃ©rales et assimilÃ©s,Les Républicains
122330,PA721486,35.96,64.04,443.82,88.95781637717121,Grand Est,37,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,UDI et Indépendants
122508,PA721498,65.08,34.92,746.03,80.45905707196029,Ile-de-France,38,M.,Cadres d'entreprise,La République en Marche
122823,PA721506,33.91,66.09,360.52,71.09181141439205,Ile-de-France,61,Mme,Sans profession dÃ©clarÃ©e,Les Républicains
123289,PA721514,58.69,41.31,746.48,86.78660049627791,Normandie,45,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
123502,PA721522,63.07,36.93,726.14,85.04962779156328,Normandie, a,M.,Cadres d'entreprise,La République en Marche
123743,PA721530,57.52,42.48,716.81,85.98014888337468,Ile-de-France,53,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",Mouvement Démocrate (MoDem) et Démocrates apparentés
123969,PA721538,81.82,18.18,818.18,99.31761786600497,Occitanie,41,Mme,Cadres d'entreprise,La République en Marche
